"Statistic Label","Year","Destination","Degree of Urbanisation","NUTS 2 Region","UNIT","VALUE"
"Irish Resident","2017","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2018","Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2018","Non-Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2019","Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2019","Non-Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2020","Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2020","Non-Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2021","Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2021","Non-Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2022","Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2022","Non-Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Densely populated","Southern","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Non-Irish Resident","2017","Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Densely populated","Southern","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Non-Irish Resident","2017","Non-Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Non-Irish Resident","2018","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Non-Irish Resident","2018","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
